Usage (kWh),TimeOfDay,NumberOfResidents,ApplianceCount,IndustrialAreaNearby,PreviousTheftHistory,AverageDailyUsage,BillPaymentDelay (days),UnusualUsageSpike,Theft,anomaly_probability,business_rule_score,hybrid_score,hybrid_alert
464,3,7,25,0,1,43,25,1,1,0.24335417926816227,2,0.2903479254877136,0
392,3,6,8,1,0,26,11,0,0,0.2369126803341054,1,0.22583887623387378,0
199,3,4,10,0,1,50,36,1,1,0.1405524313912324,1,0.15838670197386268,0
250,3,6,24,0,1,21,72,1,1,0.31869839905550756,2,0.34308887933885523,0
67,1,1,22,0,1,27,1,0,0,0.6157458490118343,0,0.431022094308284,0
313,2,1,6,1,0,25,25,0,0,0.4101440724058554,1,0.34710085068409874,0
284,3,8,7,0,1,11,12,1,1,0.286539064803926,1,0.2605773453627482,0
273,3,3,10,0,0,22,44,1,0,0.12289828884268617,1,0.1460288021898803,0
359,3,7,13,0,1,21,79,0,1,0.33163914098977876,1,0.2921473986928451,0
415,1,2,13,0,1,42,63,1,1,0.5148156555845176,2,0.48037095890916226,0
317,3,9,16,1,0,18,64,0,0,0.3227870215666665,2,0.34595091509666653,0
431,1,6,12,0,1,19,8,1,1,0.33624737466707566,2,0.3553731622669529,0
368,4,7,9,0,1,48,39,1,1,0.16168840922459904,2,0.23318188645721932,0
385,1,6,21,0,1,10,81,1,1,0.6073474396292404,2,0.5451432077404683,1
395,2,9,13,1,0,29,28,1,0,0.06499561176886404,2,0.16549692823820483,0
53,2,9,21,1,0,26,37,1,0,0.5221720092844209,1,0.42552040649909456,0
262,4,9,14,1,0,24,38,1,0,0.2539362337339087,2,0.2977553636137361,0
452,4,6,24,1,0,49,57,1,0,0.290267850424615,2,0.32318749529723045,0
135,1,1,10,1,1,46,62,1,1,0.7181109149895638,4,0.7426776404926946,1
276,3,4,10,0,1,10,34,0,0,0.2302099610830195,0,0.16114697275811363,0
333,2,7,20,1,1,40,28,1,1,0.19528948618343733,3,0.3167026403284061,0
72,4,7,23,1,1,43,83,0,1,0.8155451642761113,3,0.750881614993278,1
495,1,1,18,1,0,30,73,1,1,0.7323197072827992,2,0.6326237950979594,1
259,2,7,22,0,1,41,90,0,1,0.5252004447610674,1,0.42764031133274716,0
421,4,8,15,0,1,29,82,1,1,0.4948027632745514,2,0.466361934292186,0
393,3,4,8,0,1,34,73,0,1,0.3504380620440638,1,0.3053066434308447,0
294,2,2,7,0,0,47,75,0,0,0.36982609136797906,1,0.31887826395758534,0
492,3,8,17,1,1,37,86,1,1,0.680396570076619,3,0.6562775990536333,1
273,4,7,10,0,1,32,63,1,1,0.37730206389246423,3,0.4441114447247249,0
268,1,10,20,0,0,42,65,0,0,0.5152284963174796,2,0.48065994742223567,0
499,3,3,5,0,1,35,78,1,1,0.7633829921463802,2,0.654368094502466,1
77,3,3,19,1,1,37,48,1,1,0.3654033665364481,3,0.4357823565755137,0
329,4,9,12,0,1,25,17,1,1,0.1772807385197399,1,0.18409651696381793,0
366,4,4,24,1,1,17,61,0,1,0.438566996230362,2,0.42699689736125335,0
328,2,7,9,1,1,43,25,1,1,0.17083191608701098,2,0.23958234126090766,0
144,2,3,6,0,1,14,10,0,0,0.322218208152801,1,0.28555274570696065,0
432,4,8,22,0,1,42,10,1,1,0.24160062513365177,1,0.22912043759355621,0
92,3,3,10,0,0,31,56,0,0,0.2966433114361442,0,0.20765031800530093,0
201,3,10,13,1,0,15,41,0,0,0.2836993161712045,2,0.3185895213198431,0
455,4,1,5,1,1,30,3,1,1,0.7942188884817952,3,0.7359532219372567,1
348,2,5,6,1,1,19,66,0,1,0.5020219775031389,2,0.4714153842521972,0
469,3,7,11,1,0,23,50,1,0,0.2776003916191532,1,0.2543202741334072,0
381,4,2,14,0,1,29,3,0,0,0.3119178201213165,1,0.2783424740849215,0
401,3,1,20,1,0,19,3,1,0,0.42015783266975615,2,0.4141104828688293,0
483,4,7,6,0,0,12,36,1,0,0.5969682509292458,2,0.537877775650472,1
352,1,1,18,0,0,17,14,0,0,0.5934011269053205,1,0.47538078883372437,0
349,2,2,16,0,0,14,76,0,0,0.41956138154330147,1,0.353692967080311,0
